Wall time,Step,Value
1565818451.2990296,0,2373.611328125
1565819148.3607664,10,473.8133239746094
1565819831.526013,20,264.0697937011719
1565820432.6301894,30,240.2970733642578
1565821086.5973852,40,149.75955200195312
1565821882.912202,50,216.76768493652344
1565822533.015118,60,112.80587768554688
1565823199.0821314,70,132.91416931152344
1565823853.7572715,80,120.59381866455078
1565824470.8023593,90,129.07928466796875
1565825064.112599,100,110.2917251586914
1565825655.4746108,110,131.3853302001953
1565826267.435223,120,122.59282684326172
1565826951.0870326,130,127.3355712890625
